BLDGID,BLDGNAME,ENTITYID,Managed By,Operating Status,Asset Type,COMMENTS
NW1042,NW HIXON BUILDING LP          ,NW1042,NWOffice,Stabilized,Office,Ballantyne
NW1500,US VI CP Property LLC         ,NW1500,BVK,DO NOT USE,Office,BVK no Asset Plans/FMV/Monthly reporting
NW1501,US VI CP GARAGE LLC           ,NW1501,BVK,DO NOT USE,Office,BVK no Asset Plans/FMV/Monthly reporting
NW1502,US VI TOWER POINT LLC         ,NW1502,BVK,DO NOT USE,Office,BVK no Asset Plans/FMV/Monthly reporting
NW1503,NW 230 Congress Street Propert,NW1503,NWOffice,Stabilized,Office,
NW1504,NW 123 Mission Street LLC     ,NW1504,SOLD,Realized,,SOLD
NW1505,NW Duluth LLC                 ,NW1505,NWOffice,Development,Retail under development,Sears Portfolio (still thinking of redevelopment)
NW1506,NW Gaithersburg LLC           ,NW1506,NWOffice,Development,Retail under development,Sears Portfolio (still thinking of redevelopment)
NW1507,NW Northgate II LLC           ,NW1507,NWRetail,Development,Retail under development,Sears Portfolio (still thinking of redevelopment)
NW1508,149-151 Pearl Street Owner LLC,NW1508,NWOffice,Stabilized,Office,
NW1509,US VI PEACHTREE LLC           ,NW1509,BVK,DO NOT USE,,BVK no Asset Plans/FMV/Monthly reporting
NW1510,Van Alen Office LLC           ,NW1510,NWOffice,Lease-Up,Office,
NW1511,US VI 2 Brickell LLC          ,NW1511,BVK,DO NOT USE,Office,BVK no Asset Plans/FMV/Monthly reporting
NW1512,US VI 3 Brickell LLC          ,NW1512,BVK,DO NOT USE,Office,BVK no Asset Plans/FMV/Monthly reporting
NW1513,900 CP Owner LLC              ,NW1513,NWOffice,DO NOT USE,Office,Unknown - Recently Purchased
NWCCR1,NW CCR BUILDING LP            ,NWCCR1,NWOffice,Stabilized,Retail,Ballantyne
NWCCR2,NW CCR BUILDING 2 LP          ,NWCCR2,NWOffice,Stabilized,Retail,Ballantyne
NWCENT,NW CENTENNIAL LLC             ,NWCENT,NWRetail,Development,Retail under development,Sears Portfolio (still thinking of redevelopment)
NWR003,"Austin Village Retail, LLC    ",NWR003,SOLD,Realized,Retail,SOLD
NWR004,"Mira Bay, LLC                 ",NWR004,SOLD,Realized,,SOLD
NWSPRI,NW SPRINGS LLC                ,NWSPRI,NWRetail,Development,Retail under development,Sears Portfolio (still thinking of redevelopment)
P100  ,NWALP PHOP Property Owner LLC ,P100  ,Anchorline Partners (3rd party Accounting in MRI) ,Stabilized,Office,CBRE does the accounting
P200  ,NWALP PHOP Property Owner LLC ,P200  ,Anchorline Partners (3rd party Accounting in MRI) ,Stabilized,Office,CBRE does the accounting
P300  ,NWALP PHOP Property Owner LLC ,P300  ,Anchorline Partners (3rd party Accounting in MRI) ,Stabilized,Office,CBRE does the accounting
P400  ,400 Totten PondRoad           ,P400  ,Anchorline Partners (3rd party Accounting in MRI) ,Stabilized,Office,CBRE does the accounting
P410  ,410 Totten Pond               ,P410  ,Anchorline Partners (3rd party Accounting in MRI) ,Stabilized,Office,CBRE does the accounting
P460  ,460 Totten Pond               ,P460  ,Anchorline Partners (3rd party Accounting in MRI) ,Land/Pre-Development,Office,CBRE does the accounting
PKLN01,Park Lane - 8070 Office       ,PKLN01,NWRetail,Stabilized,Office,
PKLN02,Park Lane - 8080 Office       ,PKLN02,NWRetail,Stabilized,Office,
PKLN03,Park Lane - 8080 Culinary Off ,PKLN03,NWRetail,Stabilized,Office,
PKLN04,Park Lane - 8176 Office       ,PKLN04,NWRetail,Stabilized,Office,
PKLN05,Park Lane - Blk B2/C/DF Retail,PKLN05,NWRetail,Stabilized,Retail,
PKLN06,Park Lane - Blk E Retail      ,PKLN06,NWRetail,Stabilized,Retail,
PKLN07,Park Lane - Blk A Retail      ,PKLN07,NWRetail,Stabilized,Retail,
PKLN08,Northwood PL G LP             ,PKLN08,NWRetail,Stabilized,N/A - Apartments,
PKLN09,Park Lane - Blk A Office      ,PKLN09,NWRetail,Stabilized,Office,
PKLNDA,Block A Development           ,PKLNDA,NWRetail,Land/Pre-Development,Land under development,
PKLNDE,Block E Development           ,PKLNDE,NWRetail,Land/Pre-Development,Land under development,
PKLNDG,Block G Development           ,PKLNDG,NWRetail,Land/Pre-Development,Land under development,
POST  ,POST @ 200 Smith Street       ,POST  ,SOLD,Realized,,SOLD
PWP001,Prestonwood Place             ,PWP001,NWRetail,Stabilized,Retail,
SLND01,Southlands Town Center Office ,SLND01,DOLD,Realized,Office,SOLD
SLND02,Southlands Town Center Retail ,SLND02,DOLD,Realized,Retail,SOLD
SLND03,Southlands Power Center       ,SLND03,DOLD,Realized,,SOLD
SLND05,NWSL Developer Parcel LLC     ,SLND05,DOLD,Realized,,SOLD
SLND06,NWSL Outparcel LLC            ,SLND06,DOLD,Realized,,SOLD
WAVE01,Waverly Place                 ,WAVE01,NWRetail,Stabilized,Retail,
,,,,,,
,,,,,,
,Missing MRI Assets,,,,,
,1515 West 14th St,,Wentworth ,Lease-Up,Office,Yardi
,DBC (Discover Business Campus),,Wentworth ,Stabilized,Office,Yardi
,Scottsdale Landing,,Wentworth ,Stabilized,Office,Yardi
,2041 Colorado,,Lincoln Property Company,Stabilized,Office,Manual (ancient)
,Carolina Square ,,CBRE,Stabilized,Office/Retail,Stabilized 
,Northside at McEwen,,Boyle,Lease-Up,Office/Retail,Under Construction (Yardi)
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Not in ENTITY_INVESTMENT Table provided by Steve.,FFV003 NWR003 LAT001 DNY001 NWR004 NW1500 BVEAST NW1504 NW1502 POST BVWEST,,,,
